id , user1, user2
1038 , 1651670 , 1446997
1039 , 500351 , 10790
1040 , 1379584 , 802
1041 , 9814 , 1509632
1042 , 1471756 , 7948
1043 , 27 , 6035
1044 , 1074638 , 8081
1045 , 568943 , 5767
1046 , 1952645 , 2019655
1047 , 1427468 , 4049
1048 , 1245334 , 616
1049 , 4834 , 63368
1050 , 2010626 , 10646
1051 , 249901 , 2411
1052 , 1320445 , 1107084
1053 , 139328 , 110
1054 , 319448 , 1042
1055 , 547 , 1370
1056 , 514632 , 6439
1057 , 1486707 , 1233383
1058 , 876891 , 2610
1059 , 1824676 , 320
1060 , 393907 , 2930
1061 , 1535222 , 3103
1062 , 1235655 , 964
1063 , 176127 , 1249
1064 , 1710112 , 1211
1065 , 770645 , 2716
1066 , 824 , 498629
1067 , 1990367 , 2935
1068 , 412472 , 8843
1069 , 1977939 , 802
1070 , 1440293 , 583
1071 , 525151 , 183
1072 , 615036 , 658802
1073 , 596675 , 536
1074 , 1049994 , 3536
1075 , 641365 , 1567
1076 , 6308 , 786784
1077 , 1020858 , 4822
1078 , 944945 , 7017
1079 , 857202 , 1999392
1080 , 1693899 , 11506
1081 , 1752506 , 394620
1082 , 951157 , 9574
1083 , 666643 , 354610
1084 , 1500048 , 5501
1085 , 1148335 , 363
1086 , 8720 , 1915988
1087 , 784633 , 1424081
1088 , 878664 , 499530
1089 , 1692566 , 7954
1090 , 347592 , 189
1091 , 1952645 , 104379
1092 , 1160205 , 9664
1093 , 793388 , 620911
1094 , 43644 , 2871
1095 , 938169 , 782
1096 , 673146 , 1210041
1097 , 1235134 , 1077576
1098 , 13859 , 936734
1099 , 3669 , 1864384
1100 , 746177 , 5676
1101 , 1067378 , 7721
1102 , 642 , 1900697
1103 , 94557 , 180762
